"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"SLC24A1",-0.704002995966027,8.46251090655936,-13.3091559640622,2.60199076653378e-37,3.40174994399939e-35,73.8975162995759
"PAN3",-0.606299736664813,10.0001635020006,-13.3066481480386,2.67717001933487e-37,3.47311325969866e-35,73.8693342381478
"CENPN",0.935806457752357,8.17831415030164,13.3028056998332,2.7965741273816e-37,3.60032234032753e-35,73.8261611604299
"CCNE1",1.5761603118126,6.34869084548038,13.2978935158383,2.95697070522953e-37,3.77797810179516e-35,73.7709813543197
"ZNF516",-1.2906138609808,8.15392169539889,-13.2955158291781,3.03786564378522e-37,3.85215068289006e-35,73.7442772928545
"ATP1A2",-2.21989809523097,4.59251836546633,-13.2940636735334,3.08835135771499e-37,3.88694370506442e-35,73.7279696074789
"CMYA5",-1.56405547271748,8.66990716719724,-13.2723907974015,3.94907515597076e-37,4.93341870410717e-35,73.4847309874183
"NBEA",-1.53418102240846,7.90026541101009,-13.2582634811484,4.63476087008275e-37,5.70549212218581e-35,73.3263264885137
"THSD4",-1.98299628865846,10.5967563064286,-13.252669585466,4.93793448381186e-37,6.03465688909326e-35,73.2636366761793
"SALL2",-1.28582955623944,8.58404851697421,-13.2502818071156,5.0732826755269e-37,6.15546131818425e-35,73.2368828826393
"CCNG2",-0.884329976181897,11.1126061348095,-13.2478574652327,5.21448157664927e-37,6.28158798501357e-35,73.2097228561166
"ZNF136",-0.622045039429072,7.95236603845155,-13.2449634172835,5.38816762862708e-37,6.44478347920537e-35,73.1773052305817
"NUDT5",0.659373931674168,9.70112832211986,13.2376923481661,5.85036970928894e-37,6.93748085493113e-35,73.0958803006479
"RGS22",-2.64110495585229,4.91179951305303,-13.2372104905389,5.88235850729411e-37,6.93748085493113e-35,73.0904853302488
"C5orf46",1.93093447513141,4.82457961059284,13.2324311328418,6.20922364997529e-37,7.27212200394675e-35,73.0369821523514
"SPEF2",-1.15207173624203,7.68955554554343,-13.2141350650038,7.63642908332816e-37,8.82112167741982e-35,72.8322890845215
"PCMTD2",-0.678355913004479,10.4049844521046,-13.186106498036,1.04803010337917e-36,1.20238283629182e-34,72.5190948655936
"BBS1",-0.736837559282575,9.69722196893756,-13.1749256235976,1.18894287801244e-36,1.35483254308648e-34,72.3942885134346
"ZNF587",-0.996101388437545,10.1697102501219,-13.1359532128089,1.84449586079005e-36,2.08774648941102e-34,71.9598400499461
"CLSTN2",-2.34502557804872,9.08670266343429,-13.1093572841215,2.48773239137996e-36,2.76023728819889e-34,71.6638784960142
"ZNF141",-0.681868199106746,6.30644170295015,-13.1068659015114,2.55838066734917e-36,2.82007123887868e-34,71.6361758013568
"KIAA1324L",-1.39548190462375,8.06104655950149,-13.0755455662949,3.63677287824214e-36,3.95704352203572e-34,71.2882284783789
"CEP290",-0.742369002347711,8.8295125352247,-13.0722223625684,3.77492848355177e-36,4.08103646635261e-34,71.2513443852176
"SCAI",-0.597524453714474,8.11571531439515,-13.0678562216706,3.9644113764265e-36,4.25858585117407e-34,71.2028948219168
"ZNF776",-0.745475665464454,9.00147882290893,-13.0622893548309,4.21979118129809e-36,4.50422647294888e-34,71.1411377645364
"UGCG",-1.57054714295158,8.89789944313624,-13.0416194777921,5.3197213464805e-36,5.64258493763481e-34,70.9119951232559
"CACNA1D",-1.83152578147729,7.94610595083043,-13.0349241052774,5.73390788781013e-36,6.04389728299486e-34,70.8378263176005
"CKS1B",0.834971138403752,9.74074868321103,13.0264390922897,6.30520807442789e-36,6.60480336492089e-34,70.7438711982436
"UQCRHL",0.753996667547879,8.63053729662175,13.0118601552191,7.42214064150257e-36,7.72681493326795e-34,70.5825386128166
"FZD9",1.97280224744615,2.95077368923589,13.009783812915,7.59647832767806e-36,7.85979184026322e-34,70.5595719050328
"KCNJ11",-1.63548667518307,7.93661684793488,-13.0078899815755,7.75904265251633e-36,7.97903989845658e-34,70.5386262363425
"CHAC1",1.43713459036628,5.22947327896672,13.0036275673339,8.13769926437895e-36,8.31771503598491e-34,70.4914920629574
"PDSS1",0.79080379153122,6.58739054881666,12.9979411109189,8.6716414952873e-36,8.81007432638677e-34,70.4286277139066
"PAN2",-0.630157634117557,9.20523625645917,-12.9966022042125,8.80234896877936e-36,8.88931828493796e-34,70.413828795135
"FAM161B",-1.12879593435025,6.94895725773885,-12.9743581059907,1.12842676502375e-35,1.13279270191224e-33,70.1681229991207
"SCN7A",-2.13917410860028,3.64617272236895,-12.9665560168326,1.23106147840397e-35,1.22851194279781e-33,70.0820126391511
"S100A9",2.84689391604881,8.12878222309739,12.9564316158208,1.37821052824724e-35,1.36021998557018e-33,69.9703260532234
"PSAT1",2.31351488006903,6.41315323001602,12.9563689654088,1.3791735400682e-35,1.36021998557018e-33,69.969635122399
"RPGR",-0.651853940914333,7.3320973580906,-12.9487874451807,1.50079391027499e-35,1.47156333120859e-33,69.8860409418477
"BBS5",-0.677289759648393,7.64761863968766,-12.9448735477802,1.56769782133057e-35,1.52827882986937e-33,69.8428997214883
"PTPRB",-1.08528700627785,8.90651479582473,-12.9295715488507,1.85899347218872e-35,1.80183476485418e-33,69.67432117773
"ST14",0.850127228997733,11.50913814182,12.9280970429733,1.88976058424977e-35,1.82118927162128e-33,69.6580843707208
"BOLA3",0.619341982227543,7.99079016168298,12.9271097834162,1.91064348459081e-35,1.83085240725137e-33,69.6472137061042
"STK36",-0.731605541485944,9.11541465927179,-12.9221431508926,2.01923466174604e-35,1.92397698137554e-33,69.5925353154517
"RGS20",1.39734101458676,1.74165955825537,12.9167131293127,2.14499560648557e-35,2.0323230844595e-33,69.5327724914693
"CLASP2",-0.594969715657566,9.96906077586878,-12.9148687396022,2.18946160633047e-35,2.06286424529405e-33,69.5124771978451
"LRBA",-0.912756096402118,11.4834150121617,-12.905329254413,2.43451169865912e-35,2.28100221099367e-33,69.407539510209
"SRD5A1",1.07178082750655,8.18405878236053,12.900960182256,2.55567704357537e-35,2.38129797458004e-33,69.3594965935385
"CCDC30",-0.988883361741101,6.51991336093357,-12.9000333527512,2.58214192130109e-35,2.39145752120306e-33,69.3493065369166
"S100A8",2.87904134339108,6.28366311963009,12.8995885157758,2.5949405655509e-35,2.39145752120306e-33,69.3444159475375
"PTTG1",1.18081887100457,8.42135361879218,12.8958953302013,2.7036661803149e-35,2.47811576798972e-33,69.3038172697087
"CHAD",-2.95859771232284,7.24032023627819,-12.8862873019551,3.00822779196548e-35,2.7423654979188e-33,69.198236304848
"UPP1",1.00579529252817,7.16661282846515,12.8808025966615,3.1971493791282e-35,2.89892066016113e-33,69.137990942516
"KIAA1109",-0.815208424283847,10.6686905202413,-12.8731465763234,3.48075902566019e-35,3.13919791271439e-33,69.0539258623004
"DNAH7",-1.5609157083438,5.13232778100501,-12.868883059271,3.64940822077445e-35,3.27379093847665e-33,69.0071267800994
"SNRPG",0.593302780782404,9.57552405360441,12.8628463621623,3.90219339716753e-35,3.48203659487992e-33,68.9408830378682
"C6orf201",-0.985837170163833,2.71810074060746,-12.8559569856575,4.21203371980626e-35,3.73873414129119e-33,68.8653094849101
"RBM43",-0.831294746633389,7.91220730914703,-12.8397362399099,5.04162516747009e-35,4.45167583504623e-33,68.6874887969743
"ZNF844",-1.03828150444624,7.72442919348172,-12.8363186411634,5.23615329225056e-35,4.59936069134405e-33,68.6500436430032
"TM6SF1",-0.724218039591238,6.94264708608393,-12.8329786930465,5.43347412862006e-35,4.74795550151178e-33,68.6134561486837
"ACE2",2.24147703172133,2.52951588896452,12.831103632561,5.54747573424075e-35,4.8225865081428e-33,68.5929187596167
"IFT88",-0.697408160505586,8.29600291882145,-12.8115635354243,6.8867639723213e-35,5.95616791759993e-33,68.3790251997021
"PDIA4",0.599693699929638,12.2498042587108,12.8105982113646,6.96069220845485e-35,5.98939153548934e-33,68.3684644225612
"P4HB",0.637619357503041,14.357142819736,12.8003801473861,7.79332785499784e-35,6.67180072459587e-33,68.2567122920641
