Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
GSM519351	0.0312257574749571	0	0.150525807547721	0	0.0560503777166714	0.00718078650695011	0	0.259819933469807	0	0.091253502322242	0.0346542286352488	0	0.0161932779554153	0.0575213101525798	0.137688219752809	0.0783902010347535	0.0451092421785592	0	0	0.027419138325359	0.00696821692692656	0	0.0629999999999999	0.135562184978365	1.04464798777193
GSM519352	0.0257779404204124	0	0.171518421791263	0.0764776287238601	0	0.14020957251037	0.023364652611154	0.0982647622977039	0.000937910963263765	0.144527753551389	0	0.0202476691670831	0	0.0621277125061573	0.117020248153288	0.047353348035685	0.0137747416828518	0.00731708430424535	0.051080553281273	0	0	0	0	0.524948886713286	0.851462498183435
GSM519353	0	0.034173855838174	0	0	0	0.308550826444819	0	0.110990472822623	0	0	0.016322717394922	0.0201476865302919	0.0410190558055565	0.0736259971593398	0.11379028249126	0.06916437837873	0.125810592706103	0	0.0663121835478972	0	0	0.0200919508802836	0.321	0.0544761910101815	1.06248830884989
GSM519354	0.0292370647503123	0.00764140478996967	0.0140034977472842	0.0180636539225578	0.0332744974133648	0.0362062300119262	0	0.0816677599139595	0	0.0422909553490829	0.00136874114665435	0	0	0.293490573833824	0.176681492924176	0.15454980047382	0.0546890307679238	0	0.0568352969551441	0	0	0	0	0.533651081389768	0.84574169060432
GSM519355	0.0576007594301151	0	0.113305258138657	0.0237715263858647	0	0.105103479804253	0	0.0658420111015883	0	0.052006923362966	0.00253379433825021	0	0	0.224359935594423	0.179420624241502	0.114106140021012	0.00888878657720147	0	0.0446110572599775	0	0	0.00844970374418927	0	0.529747379306357	0.848991330136174
GSM519356	0.029037915661722	0.00856199752803977	0.0170108272884039	0	0	0	0	0.181419098686113	0	0.0278276077003131	0	0.0219702120003278	0	0.373400299904442	0.0947043878166212	0.106472426437494	0.070765114618424	0	0.0287772096997776	0.0318157640092384	0.00823713864908284	0	0.005	0.310488696819382	0.967125578820364
GSM519357	0.00894352777720131	0.00510108985535558	0.00506928258894697	0.0017071613050569	0	0.152526914107081	0.0146099891614837	0.113385425244452	0.0153418367997485	0.0433157743743055	0.00859587249759327	0	0	0.16553523082987	0.128228740780784	0.230427532892596	0.0488008897954612	0	0.0136474934526537	0.00576502474297129	0.0290884753589247	0.0099097384355145	0	0.471189212733796	0.881581722154788
GSM519358	0.0320155101352481	0	0.0085946586999191	0.0120777665002838	0	0.0618179586574331	0.00365152620241884	0.0557425600283477	0	0.0611972177515157	0	0	0	0.550590839375863	0.112026646620691	0.0389851402738019	0.0218364870211271	0	0.0414096382514899	0	0	5.40504818610805e-05	0	0.720422260864987	0.70653168951281
GSM519359	0.026637268002373	0.00155094987217198	0.0673210030069979	0	0.0283473689209282	0.201563880548625	0	0.154324987133906	0	0.0548719971593631	0	0.0109310251071184	0	0.0479115607409368	0.152905730168534	0.0585709345028569	0.0013248977645314	0.0514199437143208	0.130985321879245	0	0	0.0113331314780918	0	0.449664958390968	0.892361391244001
GSM519360	0.0311107017573036	0	0.12422074425486	0.0617422967063969	0	0.0228934321312473	0	0.0953633384851299	0.0328375924417522	0.175762591968493	0	0	0	0.142159286717347	0.183285610772435	0.0673737282645452	0.016669018512665	0	0	0.0253704027766257	0	0.0212112552111978	0	0.500344668812656	0.865393798028488
GSM519361	0	0.0472690394096545	0.0515708886816066	0	0	0.103430091202603	0	0.0689019350196436	0.0127264311599516	0.100127964698717	0	0.0193640059582028	0	0.247093189011244	0.143114345707909	0.0705891696940149	0.0146452100054231	0	0.0865975542240789	0.0161990138549786	0	0.018371161371972	0.002	0.368495871608869	0.931791670660278
GSM519362	0.0355167639129651	0	0.210593976101531	0.0172587113426735	0	0.0595324538095862	0.0212309014554218	0.0963288355828191	0	0.0604370414423231	0	0.0010828362337386	0	0.358833620957588	0.096599154265677	0.0222096352559017	0	0.00607177526362011	0	0.0143042943761541	0	0	0.001	0.398875438647239	0.924895989028637
GSM519363	0.065650115848479	0	0.0464257187353564	0.0184825859429832	0	0.151763449760725	0.0601438667897913	0.0632588168676985	0	0.274566994120467	0	0	0	0.068891328671491	0.158453401328635	0.0445444494163737	0.025579347329812	0	0	0.0222399251881886	0	0	0	0.616228989935807	0.796278514319886
GSM519364	0.0125815129924814	0.0148434102491379	0.260958479396456	0.0318190735927831	0	0.0347036274137487	0.00889687240740629	0.0166169423105825	0.0380540473814529	0.01060536526894	0.0481711017865097	0	0	0.238555697829659	0.0586920383201022	0.114177360007694	0.0267637857420036	0	0.0678946875178981	0.0166659977831446	0	0	0	0.628344783100319	0.786033117217596
GSM519365	0.043851367656289	0	0.0679921615974005	0.0421438245326593	0	0.160651177711563	0	0.064543590301932	0	0.0565068852182334	0.0134517283422694	0	0	0.204689919636216	0.122607281804143	0.143490542427903	0.0171995690015984	0	0.044464867773593	0.0178084790671211	0	0.000598604929078615	0	0.510720070771431	0.862320469298854
GSM519366	0.0146571642397087	0	0.013555808707624	0.0572318859662214	0	0.152854695240409	0.0131162642890826	0.0491068201134715	0.0136039786258353	0.116493468286734	0.0263328817813566	0	0	0.0504751894281583	0.19095131378902	0.11922250762559	0.0623058578928013	0	0.118464453461939	0	0	0.0016277105520477	0	0.607043320093116	0.807315010397122
GSM519367	0.0539018844067238	0	0.0328189208988158	0	0	0.159838843050603	0	0.131969362787663	0	0.0206543207315847	0.0417207865945377	0	0	0.245475634667321	0.119385300591315	0.0975516896900618	0.00268164437657782	0	0.0069511436551438	0.0487396838081564	0	0.0383107847414968	0.026	0.184410458353623	1.01687557238017
GSM519368	0	0.0254786199033121	0.0084703492349054	0	0	0.110789500821636	0	0.0669172362224297	0.0289121657652519	0.029359080852047	0	0	0	0.380789483018253	0.0571893203656043	0.130175176854672	0.0139510229588465	0	0	0.124159502776887	0.0079572473654799	0.0158512938606749	0.001	0.37979146283778	0.93402953256247
