Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
TCGA-A2-A0ET-01	0.101370258214173	0	0.00532600083968062	0.0893428745897241	0	0.19338348999774	0	0.0884799186695505	0.0266121643586439	0	0.0235804904969337	0	0.0569272035446895	0	0.0422307981161583	0.296382599772584	0.0559919532698014	0.0120530144981545	0.00559159684041212	0	0.00272763679175451	0	0.759	0.000595039489221887	1.085239384656
TCGA-A2-A0EU-01	0.0862938753215536	0	0.00581542347534376	0.0350019506258267	0	0.184165290695404	0	0.0838493047238781	0.0147624124244679	0.0013779464936559	0	0.0128871556065073	0	0.123867433945829	0.0640806862562533	0.156882515164058	0	0.0387313904667306	0.184407530998109	0	0	0.00787708380238343	0.163	0.106330449727563	1.04022373484722
TCGA-A2-A0EV-01	0.0655003504681282	0	0.0268031297332228	0.0501248930460739	0	0.164287068823982	0.00428758242652632	0.0404482827257625	0.0479277721750658	0	0.0221254498076754	0	0	0.342927193717309	0.0236475139255432	0.1498846382021	0	0.0198626150840186	0.0421735098645917	0	0	0	0.014	0.246425077818406	0.999056805063981
TCGA-A2-A0EW-01	0.161129693221491	0	0.00455651935278299	0.0694729169415837	0	0.266192376090062	0	0.0419224532262733	0	0	0	0.0251485516913309	0.00233477944955333	0	0.0492437199247294	0.247506198816361	0	0.00576570821132334	0.126486052056501	0	0	0.000241031018009007	0.363	0.0562521825583222	1.06160960320849
TCGA-A2-A0EX-01	0.0177387837246819	0.0126794145500474	0.0318534531970457	0.0416084476402399	0	0.21274211603144	0	0.114555954266091	0.00963216341054374	0	0	0.0630456025154912	0.0319921134491239	0.223684668841315	0.0732510491355611	0.061171091067348	0.00448678392648132	0	0.101558358244589	0	0	0	0.487	0.0353393645569859	1.07704938328381
TCGA-A2-A0EY-01	0.0696270916271587	0	0.0128096901230945	0.0445252304327115	0	0.224699959725511	0	0.123061887407443	0.00399265533231187	0	0.0311488964001105	0.00963708241149754	0.027299294211725	0.00468900867349621	0.0873527158339317	0.249957425359312	0.0144328846116769	0	0.09676617785002	0	0	0	0.288	0.0685804884855087	1.05572055599278
TCGA-A2-A0ST-01	0.0756326708634801	0.00854006093729798	0.04315744746177	0.0957262865170867	0	0.189327668815318	0	0.11993300884286	0.0567465527635991	0	0	0.0183586290988471	0.0051346838493023	0.0945052815333303	0.164462334853337	0.0442662809189582	0.0363534951412904	0.0202290141339412	0.0276265842695823	0	0	0	0	0.560074890931545	0.831804953184449
TCGA-A2-A0SU-01	0.110801724140548	0	0.048008716830054	0.057884874004228	0	0.198796506922877	0	0.0343391012007198	0.0730720887734079	0	0.0100126876637555	0.00198742286035266	0.0118769373812275	0.121247424787091	0.0353309005578393	0.208933183062259	0.00509706621417683	0.00523060562912068	0.077380759972343	0	0	0	0.126	0.121232131656489	1.03108006154016
TCGA-A2-A0SV-01	0.0284929064544153	0	0	0	0	0.132190912008141	0	0.0629959594895804	0.0646850773500289	0	0.036288060937959	0	0	0.218791132730416	0.0527845150817024	0.379333819612086	0	0	0.0228495068387192	0	0	0.00158810949695099	0.56	0.0261797440162536	1.1094179919493
TCGA-A2-A0SW-01	0.0598455422167803	0	0.145266476468338	0.108674501620732	0	0.177371277697311	0	0.0739472977122769	0.0841841051443401	0	0.0109345853255907	0	0.00996156554474509	0.0763035954506868	0.0590515628716369	0.164393172933857	0	0	0.0300663170137054	0	0	0	0.00800000000000001	0.293136664189313	0.9609490315051
TCGA-A2-A0SX-01	0.0248798968861685	0.014789305272316	0.0140738927877332	0.0205995040448209	0	0.183346141694894	0	0.0954618479429079	0.0552482231771477	0	0.00445559112416646	0.0111617758316843	0	0.362931382874313	0.0835991682034797	0.0816215268438026	0	0	0.0478317433165661	0	0	0	0.001	0.53505339310197	0.844730590574564
TCGA-A2-A0SY-01	0.159450007555747	0	0.0597535161386212	0.0545191749555003	0	0.21523940181795	0	0.0684301385245872	0.0229846757318624	0	0.0135338121330275	0	0.0152737479363695	0.0106268396617031	0.0678420779949008	0.222957144655439	0.0103587140916356	0	0.0790307488026562	0	0	0	0.026	0.206972604169871	0.995669552064241
TCGA-A2-A0T0-01	0.0592911153095931	0	0.0155926480082609	0.0183013981741138	0	0.196005587334491	0	0.0581876920838031	0.0598572855878031	0	0.048551941814074	0	0	0.247940459028034	0.0945052556107141	0.190655992996796	0	0	0	0.011110624052317	0	0	0.029	0.19695485911098	1.01878331601559
TCGA-A2-A0T1-01	0.0396771541034391	0	0.0148030170968606	0.0438174939881338	0	0.192199450755474	0	0.0805801114084518	0.0812760592516851	0	0.0129597939052044	0.0157263187458031	0.0189977311012988	0.217720082141459	0.099609762531286	0.147856549303932	0	0	0.0347764756669725	0	0	0	0.005	0.355340501627719	0.939559717446666
TCGA-A2-A0T2-01	0.0379839325642865	0	0.138390085584909	0.11213089172275	0	0.124911583236317	0	0.0982750441894322	0.0204792566338394	0	0	0.0267705759828866	0.00972220093757519	0.08816968451129	0.0903356174340713	0.228571622990247	0	0	0.0190346321396345	0	0	0.00522487207276187	0.174	0.101663215995218	1.0397167175327
TCGA-A2-A0T3-01	0.106594047227742	0	0.0335737437765912	0.0459391800911849	0	0.0696003752695702	0	0.111270233315735	0.0442083987362139	0	3.71902355129036e-05	0.00529267101737077	0	0.329719219132489	0.0679002183056109	0.143879623581065	0	0	0.0419850993109137	0	0	0	0.014	0.244762546792255	0.997449542956368
TCGA-A2-A0T4-01	0.05088145249169	0	0.0127151698062045	0.0548378539832901	0	0.129011247947967	0	0.0532645299741922	0.0214301631354359	0	0	0.0173732904283322	0	0.222731823132482	0.0578849291624431	0.207352449227174	0	0	0.172517090710789	0	0	0	0.00800000000000001	0.29439321778256	0.96756644940091
TCGA-A2-A0T5-01	0.00249954416672159	0.0130599489963962	0	0	0	0.306343998895872	0	0.189890486777936	0.0477776722556697	0	0.0173994886009275	0.0154712999233298	0.0430509800923231	0.22877970243625	0	0.032393302849368	0	0	0.103333575005206	0	0	0	0.237	0.0837155120433795	1.06977307160649
TCGA-A2-A0T6-01	0.129452578795645	0	0.00534730928038114	0.0505032078246903	0	0.235190476117191	0	0.0615303214280152	0.0162235429701874	0	0.0048294540969549	0	0.000606480987699846	0.0187839415881784	0.0590723445589012	0.243836049041863	0	0	0.17386472425948	0	0	0.000759569050811752	0.029	0.197597677911026	1.00314900219456
